date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2014-01-01,5,-2,0.0,8.7,2,1,07:15 AM,05:37 PM,07:27 AM,04:54 PM,-4,-1,2,-1,15,22,69,0.0,1027,5,10,193,9,baltimore
2014-01-02,2,-5,1.2,7.0,1,6,08:06 AM,06:49 PM,07:27 AM,04:55 PM,-1,-3,0,-3,17,87,91,1.4,1012,2,4,83,12,baltimore
2014-01-03,-9,-12,0.0,8.7,2,13,08:52 AM,08:01 PM,07:27 AM,04:56 PM,-11,-17,-9,-17,37,32,84,0.0,1022,-9,10,287,25,baltimore
2014-01-04,-2,-10,0.0,8.7,2,20,09:32 AM,09:13 PM,07:27 AM,04:57 PM,-9,-10,-5,-10,20,3,74,0.0,1031,-2,10,156,13,baltimore
2014-01-05,3,-4,0.0,3.5,1,26,10:08 AM,10:21 PM,07:27 AM,04:58 PM,-0,-3,1,-3,20,78,94,8.4,1020,3,8,143,10,baltimore
2014-01-06,6,-13,1.6,7.0,1,33,10:43 AM,11:27 PM,07:27 AM,04:58 PM,-2,-6,0,-6,46,51,82,2.1,1007,6,7,265,29,baltimore
2014-01-07,-11,-17,0.0,8.7,2,40,11:17 AM,No moonset,07:27 AM,04:59 PM,-21,-24,-14,-24,31,2,52,0.0,1027,-11,10,287,23,baltimore
2014-01-08,-3,-10,0.0,8.7,2,47,11:51 AM,12:31 AM,07:27 AM,05:00 PM,-15,-11,-6,-11,13,26,52,0.0,1034,-3,10,234,9,baltimore
2014-01-09,2,-4,0.0,8.7,2,54,12:26 PM,01:33 AM,07:26 AM,05:01 PM,-8,-5,-2,-5,13,33,61,0.0,1036,2,10,123,9,baltimore
2014-01-10,2,-2,0.0,3.7,1,60,01:04 PM,02:31 AM,07:26 AM,05:02 PM,-1,-2,1,-2,11,85,91,13.8,1029,2,7,125,6,baltimore
2014-01-11,13,2,0.0,3.7,3,67,01:46 PM,03:28 AM,07:26 AM,05:03 PM,8,6,9,6,30,86,97,15.0,1007,13,8,181,16,baltimore
2014-01-12,7,2,0.0,8.7,3,74,02:30 PM,04:21 AM,07:26 AM,05:05 PM,1,1,5,1,25,7,78,0.0,1013,7,10,280,16,baltimore
2014-01-13,11,1,0.0,8.7,3,81,03:19 PM,05:12 AM,07:26 AM,05:06 PM,3,3,6,3,23,21,82,0.0,1017,11,10,182,13,baltimore
2014-01-14,8,6,0.0,5.4,2,87,04:10 PM,05:58 AM,07:25 AM,05:07 PM,6,4,7,4,22,58,93,8.7,1010,8,8,248,12,baltimore
2014-01-15,9,2,0.0,8.7,2,94,05:03 PM,06:39 AM,07:25 AM,05:08 PM,2,2,5,2,15,38,85,0.3,1014,9,9,273,10,baltimore
2014-01-16,4,-1,0.7,8.7,1,100,05:58 PM,07:17 AM,07:24 AM,05:09 PM,-4,-2,1,-2,16,29,69,0.9,1015,4,9,284,11,baltimore
2014-01-17,7,-1,0.0,8.7,2,92,06:54 PM,07:52 AM,07:24 AM,05:10 PM,-2,-1,2,-1,17,25,78,0.0,1013,7,10,155,10,baltimore
2014-01-18,-3,-5,0.0,8.7,1,85,07:51 PM,08:23 AM,07:24 AM,05:11 PM,-8,-9,-3,-9,31,32,67,1.1,1013,-3,8,279,22,baltimore
2014-01-19,5,-5,0.0,8.7,2,79,08:47 PM,08:54 AM,07:23 AM,05:12 PM,-6,-4,-0,-4,22,29,66,0.0,1011,5,10,230,13,baltimore
2014-01-20,9,-0,0.0,8.7,2,72,09:45 PM,09:23 AM,07:23 AM,05:13 PM,-0,-1,3,-1,30,15,78,0.1,1008,9,10,266,16,baltimore
2014-01-21,0,-11,0.0,3.7,1,65,10:43 PM,09:53 AM,07:22 AM,05:14 PM,-6,-11,-5,-11,35,82,87,3.9,1012,0,6,67,24,baltimore
2014-01-22,-10,-15,0.0,8.7,2,58,11:43 PM,10:23 AM,07:21 AM,05:16 PM,-16,-22,-13,-22,34,17,76,0.0,1016,-10,10,320,24,baltimore
2014-01-23,-5,-13,0.1,7.0,1,52,No moonrise,10:57 AM,07:21 AM,05:17 PM,-14,-16,-10,-16,24,40,71,0.1,1024,-5,10,281,15,baltimore
2014-01-24,-8,-14,0.0,8.7,2,45,12:44 AM,11:34 AM,07:20 AM,05:18 PM,-14,-18,-10,-18,29,11,74,0.0,1029,-8,10,257,18,baltimore
2014-01-25,-2,-9,0.3,5.4,1,38,01:48 AM,12:17 PM,07:19 AM,05:19 PM,-8,-12,-5,-12,36,65,77,0.6,1006,-2,8,211,23,baltimore
2014-01-26,-2,-11,0.0,8.7,1,31,02:52 AM,01:07 PM,07:19 AM,05:20 PM,-8,-10,-5,-10,23,30,77,0.0,1011,-2,10,233,14,baltimore
2014-01-27,4,-7,0.0,7.1,1,25,03:56 AM,02:05 PM,07:18 AM,05:21 PM,-5,-7,-1,-7,38,57,78,0.0,1012,4,10,267,24,baltimore
2014-01-28,-9,-12,0.1,8.7,1,18,04:55 AM,03:10 PM,07:17 AM,05:23 PM,-15,-17,-10,-17,21,48,66,0.1,1028,-9,10,331,15,baltimore
2014-01-29,-7,-12,0.0,8.7,2,11,05:50 AM,04:20 PM,07:16 AM,05:24 PM,-16,-17,-10,-17,22,21,64,0.1,1026,-7,10,306,14,baltimore
2014-01-30,-4,-14,0.0,8.7,2,4,06:39 AM,05:34 PM,07:15 AM,05:25 PM,-12,-12,-8,-12,14,1,77,0.0,1029,-4,10,208,8,baltimore
2014-01-31,5,-6,0.0,8.7,2,3,07:23 AM,06:47 PM,07:15 AM,05:26 PM,-4,-4,-2,-4,11,21,82,0.0,1022,5,10,179,6,baltimore
2014-02-01,4,-4,0.0,8.7,2,9,08:03 AM,07:59 PM,07:14 AM,05:27 PM,-2,-3,0,-3,19,10,85,0.0,1023,4,10,150,10,baltimore
2014-02-02,10,0,0.0,7.1,2,16,08:39 AM,09:09 PM,07:13 AM,05:29 PM,3,2,4,2,15,37,90,0.2,1016,10,9,160,7,baltimore
2014-02-03,1,-2,0.0,5.4,1,23,09:15 AM,10:16 PM,07:12 AM,05:30 PM,-0,-5,1,-5,29,75,93,37.0,1021,1,8,54,19,baltimore
2014-02-04,1,-4,0.0,8.7,2,30,09:50 AM,11:21 PM,07:11 AM,05:31 PM,-5,-6,-2,-6,15,27,80,0.1,1029,1,10,39,10,baltimore
2014-02-05,4,-2,0.0,5.5,1,36,10:26 AM,No moonset,07:10 AM,05:32 PM,-0,-3,1,-3,24,67,92,10.0,1012,4,8,179,16,baltimore
